Model,MRR,MAP,Top-3 Acc,Top-5 Acc,Precision@3,Recall@3,Hit Rate@3,Accuracy,F1-Score,CV Mean,CV Std,Type
Decision Tree,0.8434300560635876,0,0,0,0,0,0,0.8142857142857143,0.8147856060482356,0.8142857142857143,0,Decision
Logistic Regression,0.7412895302300742,0,0,0,0,0,0,0.6038095238095238,0.5865705029535754,0.6038095238095238,0,Logistic
Random Forest,0.8963113506231519,0,0,0,0,0,0,0.8352380952380952,0.8320405378706976,0.8352380952380952,0,Random
Xgboost,0.8945044360946515,0,0,0,0,0,0,0.8295238095238096,0.827137142175604,0.8295238095238096,0,Xgboost
