Model,MRR,Top-1 Acc,Top-3 Acc,Top-5 Acc,Precision@3,Recall@3,Hit Rate@3,Accuracy,F1-Score,Supports Ranking,Type
XGBoost,0.8945044360946515,0.8295238095238096,0.9571428571428572,0.9761904761904762,0,0,0.9571428571428572,0.8295238095238096,0.827137142175604,True,XGBClassifier
Random Forest,0.8963113506231519,0.8352380952380952,0.9495238095238095,0.9828571428571429,0,0,0.9495238095238095,0.8352380952380952,0.8320405378706976,True,RandomForestClassifier
Decision Tree,0.8434300560635876,0.8085714285714286,0.8590476190476191,0.8771428571428571,0,0,0.8590476190476191,0.8142857142857143,0.8147856060482356,True,DecisionTreeClassifier
Logistic Regression,0.7412895302300742,0.6038095238095238,0.8504761904761905,0.9257142857142857,0,0,0.8504761904761905,0.6038095238095238,0.5865705029535754,True,LogisticRegression
